DATE,M2SL
2012-01-01,9731.5
2012-02-01,9789.3
2012-03-01,9837.1
2012-04-01,9889.9
2012-05-01,9934.6
2012-06-01,9998.1
2012-07-01,10055.3
2012-08-01,10115.2
2012-09-01,10193.1
2012-10-01,10256.5
2012-11-01,10319.8
2012-12-01,10451.5
2013-01-01,10477.0
2013-02-01,10489.1
2013-03-01,10555.8
2013-04-01,10590.3
2013-05-01,10630.1
2013-06-01,10682.5
2013-07-01,10728.9
2013-08-01,10783.5
2013-09-01,10835.3
2013-10-01,10948.7
2013-11-01,10954.1
2013-12-01,11020.3
2014-01-01,11076.6
2014-02-01,11169.3
2014-03-01,11207.6
2014-04-01,11259.8
2014-05-01,11326.3
2014-06-01,11377.2
2014-07-01,11434.0
2014-08-01,11462.9
2014-09-01,11496.7
2014-10-01,11558.6
2014-11-01,11594.7
2014-12-01,11674.0
2015-01-01,11743.9
2015-02-01,11871.7
2015-03-01,11888.1
2015-04-01,11927.6
2015-05-01,11957.9
2015-06-01,12002.9
2015-07-01,12052.0
2015-08-01,12100.6
2015-09-01,12154.6
2015-10-01,12192.5
2015-11-01,12277.0
2015-12-01,12340.1
2016-01-01,12471.4
2016-02-01,12552.3
2016-03-01,12616.6
2016-04-01,12697.0
2016-05-01,12763.7
2016-06-01,12830.6
2016-07-01,12889.1
2016-08-01,12968.2
2016-09-01,13027.4
2016-10-01,13099.7
2016-11-01,13174.1
2016-12-01,13214.2
2017-01-01,13288.7
2017-02-01,13359.2
2017-03-01,13428.6
2017-04-01,13486.6
2017-05-01,13537.3
2017-06-01,13564.7
2017-07-01,13621.8
2017-08-01,13671.4
2017-09-01,13714.4
2017-10-01,13767.6
2017-11-01,13802.4
2017-12-01,13854.8
2018-01-01,13871.8
2018-02-01,13914.3
2018-03-01,13971.0
2018-04-01,14001.0
2018-05-01,14065.7
2018-06-01,14125.6
2018-07-01,14155.5
2018-08-01,14198.1
2018-09-01,14228.8
2018-10-01,14236.2
2018-11-01,14255.3
2018-12-01,14374.3
2019-01-01,14443.3
2019-02-01,14486.2
2019-03-01,14533.4
2019-04-01,14568.6
2019-05-01,14668.1
2019-06-01,14786.7
2019-07-01,14857.6
2019-08-01,14934.8
2019-09-01,15026.4
2019-10-01,15152.8
2019-11-01,15251.0
2019-12-01,15325.5
2020-01-01,15406.5
2020-02-01,15470.2
2020-03-01,16011.1
2020-04-01,17038.8
2020-05-01,17889.0
2020-06-01,18175.5
2020-07-01,18316.2
2020-08-01,18378.1
2020-09-01,18601.2
2020-10-01,18747.8
2020-11-01,18958.6
2020-12-01,19129.2
2021-01-01,19388.0
2021-02-01,19657.5
2021-03-01,19903.1
2021-04-01,20156.4
2021-05-01,20424.2
2021-06-01,20443.0
2021-07-01,20592.3
2021-08-01,20851.4
2021-09-01,21010.3
2021-10-01,21163.6
2021-11-01,21401.6
2021-12-01,21594.9
2022-01-01,21840.1
